componente_1,componente_2,classe,ambiente
-28.922164916992,10.397687911987,2,Saguão principal
-21.395677566528,21.212114334106,0,Corredor
19.437892913818,1.195778250694,1,Laboratório
26.033439636230,4.008830070496,3,Ginásio
27.631383895874,-3.821682214737,3,Ginásio
4.055231094360,5.427712440491,0,Corredor
-10.066221237183,-14.203983306885,3,Ginásio
20.510307312012,29.612651824951,2,Saguão principal
25.960004806519,-6.166019916534,1,Laboratório
31.314641952515,7.656155586243,1,Laboratório
-40.510215759277,-11.172902107239,2,Saguão principal
-10.562465667725,-14.890205383301,1,Laboratório
24.802799224854,9.775231361389,3,Ginásio
3.636363744736,-31.107263565063,0,Corredor
6.999777793884,-19.695154190063,3,Ginásio
14.624091148376,20.931280136108,1,Laboratório
-7.200304985046,29.068056106567,2,Saguão principal
-16.800416946411,-11.513572692871,3,Ginásio
-11.418901443481,-16.359523773193,3,Ginásio
14.610088348389,-16.115747451782,0,Corredor
29.508493423462,3.070257186890,1,Laboratório
-10.087195396423,-12.261286735535,3,Ginásio
52.897579193115,2.700284719467,0,Corredor
-2.191059112549,25.560354232788,1,Laboratório
-19.686511993408,-17.376552581787,2,Saguão principal
-11.262164115906,9.593275070190,1,Laboratório
22.898937225342,15.236282348633,1,Laboratório
-11.697612762451,-17.858957290649,3,Ginásio
19.767869949341,19.799634933472,3,Ginásio
-52.243381500244,-2.853095769882,2,Saguão principal
-31.114147186279,1.891955614090,1,Laboratório
-20.034461975098,3.292169809341,3,Ginásio
-21.585483551025,-0.039614830166,2,Saguão principal
23.043149948120,13.008154869080,0,Corredor
9.618318557739,-18.159008026123,3,Ginásio
-27.527267456055,16.105983734131,2,Saguão principal
-2.609970092773,7.848663330078,0,Corredor
-16.614133834839,-6.234319686890,3,Ginásio
-24.193862915039,16.447771072388,2,Saguão principal
-1.491733670235,26.045677185059,2,Saguão principal
-22.554214477539,-12.018067359924,2,Saguão principal
-15.829666137695,38.072444915771,2,Saguão principal
-29.958364486694,-0.996539950371,0,Corredor
-10.253521919250,22.617691040039,1,Laboratório
33.699485778809,-29.757015228271,0,Corredor
-18.415441513062,14.366803169250,2,Saguão principal
2.852436304092,38.264255523682,2,Saguão principal
6.841382503510,10.992061614990,1,Laboratório
-12.862736701965,23.943115234375,1,Laboratório
28.482328414917,32.457424163818,2,Saguão principal
-2.326716184616,-19.349496841431,3,Ginásio
16.253093719482,-17.786325454712,3,Ginásio
-16.557748794556,-10.233017921448,0,Corredor
-21.468112945557,0.139465525746,2,Saguão principal
24.241563796997,-5.021953582764,3,Ginásio
11.524549484253,39.162040710449,1,Laboratório
15.295407295227,9.041657447815,1,Laboratório
-10.175922393799,21.771553039551,3,Ginásio
-13.086035728455,15.074439048767,1,Laboratório
9.416467666626,27.393512725830,3,Ginásio
27.402378082275,-4.226514816284,3,Ginásio
6.518429756165,-13.831245422363,0,Corredor
41.449348449707,-29.142513275146,0,Corredor
34.986892700195,3.408920049667,2,Saguão principal
-12.300097465515,-29.162992477417,2,Saguão principal
-19.530632019043,7.994714260101,1,Laboratório
6.956083297729,-19.630979537964,3,Ginásio
-42.189090728760,-24.839937210083,0,Corredor
11.326023101807,39.238365173340,1,Laboratório
-19.099016189575,5.642093658447,2,Saguão principal
19.536220550537,-44.313640594482,0,Corredor
16.423513412476,16.875720977783,1,Laboratório
22.170051574707,0.772758066654,1,Laboratório
11.295426368713,34.742179870605,2,Saguão principal
-25.044979095459,-38.420661926270,2,Saguão principal
-40.452030181885,-11.190754890442,2,Saguão principal
21.226125717163,4.535476684570,1,Laboratório
3.882337331772,-18.821758270264,3,Ginásio
14.568978309631,25.076601028442,1,Laboratório
1.573287010193,0.686791598797,0,Corredor
-20.080064773560,-1.281848669052,2,Saguão principal
-11.273243904114,-16.439426422119,3,Ginásio
-14.927124977112,-26.520181655884,1,Laboratório
2.729583978653,-22.768836975098,3,Ginásio
39.310844421387,4.683537960052,0,Corredor
-13.246459007263,-14.917747497559,3,Ginásio
-11.750818252563,-14.679986953735,3,Ginásio
39.372348785400,4.740768909454,0,Corredor
-16.135746002197,38.151103973389,2,Saguão principal
-22.273122787476,-7.677461624146,2,Saguão principal
1.597705125809,0.586090862751,0,Corredor
42.848140716553,-11.774551391602,0,Corredor
-0.667935788631,-17.856401443481,0,Corredor
5.282278537750,-21.037715911865,3,Ginásio
-19.469406127930,-21.408538818359,2,Saguão principal
-18.803140640259,-12.313462257385,2,Saguão principal
-52.197887420654,-2.822617053986,2,Saguão principal
39.552337646484,7.359601974487,0,Corredor
23.019224166870,6.202917098999,1,Laboratório
14.794042587280,26.792194366455,1,Laboratório
2.249070167542,-20.407411575317,3,Ginásio
-2.038333415985,-28.533813476562,0,Corredor
-19.047027587891,5.557655811310,2,Saguão principal
-3.333611965179,-20.932437896729,3,Ginásio
-12.065809249878,-1.964395761490,1,Laboratório
-1.857865452766,26.019718170166,2,Saguão principal
28.916099548340,19.519477844238,2,Saguão principal
-11.139053344727,4.897536754608,1,Laboratório
22.571283340454,1.068025588989,1,Laboratório
-12.624722480774,40.003101348877,2,Saguão principal
-13.840603828430,-13.689816474915,3,Ginásio
-36.186656951904,-14.000733375549,2,Saguão principal
15.413401603699,-17.307086944580,3,Ginásio
-22.907104492188,2.469820022583,2,Saguão principal
11.840423583984,6.397148609161,1,Laboratório
-11.227749824524,-16.527133941650,3,Ginásio
27.610219955444,-3.727415800095,3,Ginásio
27.952390670776,-38.734565734863,0,Corredor
-42.443378448486,-23.972290039062,0,Corredor
-24.175846099854,20.004335403442,1,Laboratório
14.571634292603,21.077096939087,1,Laboratório
24.961492538452,9.775434494019,3,Ginásio
